filename,title,bpm,valence,arousal,mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,danceability,emotion
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video].mp3,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],137.8125,5.5502,5.8816,0.2687,0.4543,0.0345,0.6961,0.1507,0.9508,focused
Chella - My Darling (Official Visualiser).mp3,Chella - My Darling (Official Visualiser),79.50720977783203,5.486,5.4561,0.4863,0.1712,0.0108,0.6321,0.2403,0.9887,focused
Chet Baker - I Talk To The Trees (Official Audio).mp3,Chet Baker - I Talk To The Trees (Official Audio),146.60903930664062,3.9257,3.594,0.0047,0.963,0.0032,0.9997,0.0001,0.035,melancholic
Chord Overstreet - Hold On (Lyric Video).mp3,Chord Overstreet - Hold On (Lyric Video),83.35433197021484,4.3043,4.0695,0.2852,0.7789,0.0171,0.7499,0.0245,0.6349,sad
Chris Brown - It Depends (Official Lyric Video) ft. Bryson Tiller.mp3,Chris Brown - It Depends (Official Lyric Video) ft. Bryson Tiller,93.96306610107422,5.5172,5.4286,0.2288,0.5728,0.0025,0.3775,0.6969,0.9986,triumphant
Chris Thrace - Amelia (Official Video).mp3,Chris Thrace - Amelia (Official Video),106.00961303710938,5.9548,5.8706,0.5124,0.1136,0.0506,0.1517,0.6944,0.9895,triumphant
Chris Thrace - Ma` Mind (Official Video).mp3,Chris Thrace - Ma` Mind (Official Video),130.83465576171875,5.4085,5.7384,0.5379,0.1663,0.0378,0.1193,0.7358,0.9899,triumphant
Chris Thrace X Esotique- Like you too (Lyric Video).mp3,Chris Thrace X Esotique- Like you too (Lyric Video),103.359375,5.8534,5.3336,0.2617,0.1935,0.0188,0.2839,0.5584,0.9501,triumphant
ChuChu Lovely MuniMuni MuraMura PrinPrin Boron Nururu ReroRero.mp3,ChuChu Lovely MuniMuni MuraMura PrinPrin Boron Nururu ReroRero,89.10291290283203,8.268,4.1494,0.3852,0.0242,0.9862,0.0005,0.8838,0.9216,anxious
Circuit Des Yeux  ＂3311＂.mp3,Circuit Des Yeux  ＂3311＂,107.666015625,4.0736,4.0712,0.1689,0.8098,0.0003,0.9005,0.0002,0.0251,sad
Circuit Des Yeux ＂Twenty & Dry＂.mp3,Circuit Des Yeux ＂Twenty & Dry＂,134.2329559326172,3.9586,3.5105,0.0346,0.9896,0.0044,0.9856,0.0001,0.0155,melancholic
City Ruins - Rays of Light (NieR：Automata Original Soundtrack)【Audio】.mp3,City Ruins - Rays of Light (NieR：Automata Original Soundtrack)【Audio】,92.28515625,4.1483,3.9198,0.0536,0.6426,0.0095,0.9923,0.0013,0.5178,melancholic
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video].mp3,Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],140.625,6.2936,6.5512,0.9064,0.1259,0.1299,0.1047,0.7422,0.9463,hopeful
Clean Bandit - Solo (feat. Demi Lovato) [Official Video].mp3,Clean Bandit - Solo (feat. Demi Lovato) [Official Video],144.55856323242188,6.3517,6.2202,0.8011,0.0525,0.1161,0.1048,0.8642,0.9857,party
Clean Bandit - Symphony (feat. Zara Larsson) [Official Video].mp3,Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],84.7208023071289,5.4173,5.8187,0.5512,0.2682,0.0847,0.5051,0.4643,0.9206,romantic_passionate
Coldplay - Adventure Of A Lifetime (Official Video).mp3,Coldplay - Adventure Of A Lifetime (Official Video),77.13386535644531,5.198,5.4675,0.431,0.3277,0.0764,0.5383,0.5531,0.8097,triumphant
Coldplay - Clocks (Official Video).mp3,Coldplay - Clocks (Official Video),90.27019500732422,5.4527,5.4795,0.7243,0.3937,0.0491,0.4604,0.0543,0.7415,romantic_passionate
Coldplay - Fix You (Official Video).mp3,Coldplay - Fix You (Official Video),95.703125,4.6063,4.2849,0.3138,0.568,0.286,0.5989,0.0449,0.4054,sad
Coldplay - Paradise (Official Video).mp3,Coldplay - Paradise (Official Video),96.59754943847656,5.5113,5.1046,0.6918,0.2466,0.118,0.2701,0.335,0.8189,romantic_passionate
Coldplay - The Scientist (Official 4K Video).mp3,Coldplay - The Scientist (Official 4K Video),101.3327178955078,4.6176,4.3128,0.4267,0.8734,0.0011,0.7626,0.0015,0.2062,sad
Converse Takeaway Show from Pitchfork Paris： The Walkmen ＂We Can't Be Beat＂.mp3,Converse Takeaway Show from Pitchfork Paris： The Walkmen ＂We Can't Be Beat＂,86.85662078857422,4.2886,4.1064,0.2357,0.9254,0.0116,0.8608,0.0113,0.0748,sad
Costi - No More Coca M⧸V.mp3,Costi - No More Coca M⧸V,86.1328125,5.6688,5.7371,0.1394,0.0685,0.5467,0.139,0.8213,0.9705,triumphant
Costi X Shaggy X Boy Spyce X Konshens - Pretty Woman (Visualizer).mp3,Costi X Shaggy X Boy Spyce X Konshens - Pretty Woman (Visualizer),151.99908447265625,6.1577,6.0838,0.8912,0.0896,0.0743,0.0639,0.7587,0.9754,hopeful
Costi x Emilia x Jay Maly - Bombon Bebe (Adrenalina) Official Video.mp3,Costi x Emilia x Jay Maly - Bombon Bebe (Adrenalina) Official Video,137.8125,6.393,5.234,0.2748,0.0387,0.5693,0.0952,0.9068,0.9758,triumphant
Courtney Barnett + Kurt Vile - Continental Breakfast (Official Video).mp3,Courtney Barnett + Kurt Vile - Continental Breakfast (Official Video),125.28408813476562,4.7812,5.2402,0.3866,0.9129,0.0019,0.7585,0.0082,0.3097,sad
Crawling [Official HD Music Video] - Linkin Park.mp3,Crawling [Official HD Music Video] - Linkin Park,72.27928161621094,6.1651,5.2814,0.378,0.14,0.5709,0.1747,0.3912,0.7377,anxious
Crazy Loop - Love Maria (Official Video).mp3,Crazy Loop - Love Maria (Official Video),82.6875,6.4578,5.8239,0.7567,0.0429,0.6529,0.1574,0.8853,0.9426,triumphant
Cult of Youth ＂Man and Man's Ruin＂ (Official Music Video).mp3,Cult of Youth ＂Man and Man's Ruin＂ (Official Music Video),121.5992660522461,5.1701,4.8959,0.4659,0.5907,0.139,0.6675,0.0674,0.4345,sad
Cut Worms - Like Going Down Sideways (Official Video).mp3,Cut Worms - Like Going Down Sideways (Official Video),102.33601379394533,4.3636,4.0186,0.3164,0.8911,0.0215,0.8079,0.0072,0.071,sad
Cyndi Lauper - Girls Just Want To Have Fun (Official Video).mp3,Cyndi Lauper - Girls Just Want To Have Fun (Official Video),82.6875,6.2631,6.7409,0.9564,0.0942,0.0707,0.0563,0.9305,0.9722,hopeful
CÆRLOS - MIDAS (videoclip oficial).mp3,CÆRLOS - MIDAS (videoclip oficial),130.83465576171875,5.3069,5.3017,0.2006,0.2147,0.3002,0.3819,0.6201,0.808,triumphant
DEE STRACTION feat. Della - Cry for you (Lyric Video).mp3,DEE STRACTION feat. Della - Cry for you (Lyric Video),88.34134674072266,6.4538,6.1301,0.6184,0.0189,0.7258,0.0836,0.8907,0.9812,party
DJ Layla - DON'T GO (ft. Malina Tanase).mp3,DJ Layla - DON'T GO (ft. Malina Tanase),146.60903930664062,5.9231,6.1777,0.6659,0.1987,0.332,0.3016,0.5774,0.9429,romantic_passionate
DJ SAVA x PETRA - Move like Chaplin (Official Video).mp3,DJ SAVA x PETRA - Move like Chaplin (Official Video),86.1328125,5.9062,6.1177,0.2613,0.1058,0.3382,0.1459,0.8545,0.9232,party
DJ Sava feat. Faydee - Love in DUBAI (Official Video).mp3,DJ Sava feat. Faydee - Love in DUBAI (Official Video),137.8125,6.3967,6.3708,0.4716,0.0831,0.1134,0.1309,0.8368,0.9722,party
DJ Sava feat. Irina Rimes - I Loved You (Official Video).mp3,DJ Sava feat. Irina Rimes - I Loved You (Official Video),82.6875,5.937,6.1866,0.6199,0.1771,0.1551,0.2329,0.6747,0.9782,party
DJ Sava feat. Sore - I'm Gonna Miss You (Official Video).mp3,DJ Sava feat. Sore - I'm Gonna Miss You (Official Video),79.50720977783203,5.477,5.722,0.2855,0.1327,0.095,0.3679,0.6509,0.97,triumphant
DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber,137.8125,5.4478,5.3564,0.4252,0.1348,0.025,0.5269,0.3013,0.9711,focused
DJ Zet & Sonny Flame - Babylon (by Boier Bibescu) Online Video.mp3,DJ Zet & Sonny Flame - Babylon (by Boier Bibescu) Online Video,144.55856323242188,6.2622,4.9643,0.3474,0.0142,0.532,0.0732,0.9375,0.9892,triumphant
"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers.mp3","Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers",80.12354278564453,6.3169,6.6402,0.9208,0.0488,0.0759,0.0813,0.5758,0.9744,hopeful
Daft Punk - One More Time (Official Video).mp3,Daft Punk - One More Time (Official Video),84.7208023071289,5.3392,5.2539,0.5494,0.2043,0.3209,0.3968,0.5208,0.8981,romantic_passionate
"Damiano David, Tyla, Nile Rodgers - Talk to Me (Official Video).mp3","Damiano David, Tyla, Nile Rodgers - Talk to Me (Official Video)",73.828125,6.4006,6.0466,0.8553,0.1576,0.1147,0.1266,0.6848,0.9849,hopeful
Dan + Shay - Speechless (Icon Video).mp3,Dan + Shay - Speechless (Icon Video),93.96306610107422,4.9566,4.8458,0.5082,0.9213,0.0086,0.7131,0.1481,0.8405,sad
Dan Balan - Numa Numa 2 (feat. Marley Waters) ⧸ 恋のマイアヒ2018.mp3,Dan Balan - Numa Numa 2 (feat. Marley Waters) ⧸ 恋のマイアヒ2018,89.87771606445312,6.2459,5.8994,0.7596,0.0872,0.5792,0.1059,0.8583,0.9532,triumphant
"Danger Mouse, Daniele Luppi - Season's Trees.mp3","Danger Mouse, Daniele Luppi - Season's Trees",110.54478454589844,4.2738,3.6661,0.1995,0.9895,0.0052,0.9901,0.001,0.0272,melancholic
"Danger Mouse, Daniele Luppi - Two Against One ft. Jack White.mp3","Danger Mouse, Daniele Luppi - Two Against One ft. Jack White",82.03125,4.9749,4.7026,0.5933,0.6252,0.0267,0.7139,0.0767,0.3021,sad
Daniel Caesar - Who Knows (Official Lyric Video).mp3,Daniel Caesar - Who Knows (Official Lyric Video),83.35433197021484,4.3036,4.0333,0.2277,0.8735,0.0044,0.9754,0.0112,0.6114,sad
Daria Lupi - Sabroso (Official Video).mp3,Daria Lupi - Sabroso (Official Video),122.31878662109376,6.0133,6.0139,0.4324,0.103,0.2203,0.1814,0.9284,0.9803,party
Darin feat. Eloise - Falling In love (Music Video).mp3,Darin feat. Eloise - Falling In love (Music Video),130.83465576171875,4.8983,5.0701,0.22,0.5648,0.0147,0.894,0.1024,0.8947,sad
Dave - Raindance (ft. Tems).mp3,Dave - Raindance (ft. Tems),73.828125,4.9891,5.0372,0.2323,0.2628,0.1221,0.4454,0.3923,0.9244,focused
David DeeJay feat Dony - Temptation (Official Video).mp3,David DeeJay feat Dony - Temptation (Official Video),88.34134674072266,5.5184,5.7085,0.1012,0.2667,0.2381,0.3122,0.6804,0.9457,triumphant
David DeeJay feat. P Jolie & Nonis - Perfect 2 (Official Video).mp3,David DeeJay feat. P Jolie & Nonis - Perfect 2 (Official Video),88.34134674072266,6.5988,6.4255,0.464,0.0087,0.5716,0.0447,0.9373,0.9999,party
David Guetta & OneRepublic - I Don't Wanna Wait (Official Video).mp3,David Guetta & OneRepublic - I Don't Wanna Wait (Official Video),89.87771606445312,6.2202,5.6035,0.6986,0.2382,0.359,0.1288,0.7295,0.933,triumphant
"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack.mp3","David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",118.80387878417967,5.4604,5.6781,0.4906,0.1244,0.3955,0.2184,0.8657,0.8861,triumphant
"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video).mp3","David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)",89.87771606445312,5.8641,5.6898,0.5775,0.0995,0.5653,0.152,0.8076,0.9073,triumphant
David Guetta - Titanium ft. Sia (Official Video).mp3,David Guetta - Titanium ft. Sia (Official Video),86.85662078857422,6.2882,5.7211,0.6652,0.1003,0.4667,0.1394,0.7182,0.934,triumphant
"David Guetta, Teddy Swims, Tones and I - Gone Gone Gone [Official Music Video].mp3","David Guetta, Teddy Swims, Tones and I - Gone Gone Gone [Official Music Video]",90.6661148071289,6.1918,5.4904,0.6979,0.1978,0.2195,0.1769,0.802,0.9406,triumphant
David Kushner - Daylight (Official Music Video).mp3,David Kushner - Daylight (Official Music Video),89.87771606445312,4.719,3.7919,0.157,0.7931,0.1502,0.796,0.0777,0.2117,melancholic
Day Dream.mp3,Day Dream,68.90625,3.8684,3.5049,0.0008,0.9383,0.0197,0.9998,0.0002,0.0474,melancholic
Day Walk.mp3,Day Walk,112.96106719970705,4.7559,4.9001,0.0033,0.6266,0.0001,0.9998,0.0092,0.9986,sad
Deb Never - ARCADE (Official Music Video).mp3,Deb Never - ARCADE (Official Music Video),121.5992660522461,4.541,5.1398,0.5754,0.7018,0.0294,0.6457,0.0665,0.8667,sad
Deepside Deejays - The Way We Live (Official Video).mp3,Deepside Deejays - The Way We Live (Official Video),86.1328125,5.934,5.4692,0.6981,0.2807,0.0774,0.2165,0.6234,0.8614,romantic_passionate
Delia - OmaDeo (Official Video).mp3,Delia - OmaDeo (Official Video),86.85662078857422,6.356,6.5724,0.9195,0.0077,0.3769,0.014,0.9645,0.9983,party
Demi Lovato - Heart Attack (Official Video).mp3,Demi Lovato - Heart Attack (Official Video),120.18531799316406,5.6179,6.1768,0.5626,0.2679,0.1924,0.298,0.8375,0.9189,party
Depreston - Courtney Barnett.mp3,Depreston - Courtney Barnett,87.59268951416016,4.6414,4.7451,0.5551,0.7725,0.0035,0.8166,0.0031,0.6313,sad
Destiny's Child - Say My Name (Official Video).mp3,Destiny's Child - Say My Name (Official Video),94.82511138916016,5.4038,6.2615,0.2708,0.5956,0.0029,0.5682,0.8227,0.9893,party
Diane Birch - It Plays On - Audiotree Live.mp3,Diane Birch - It Plays On - Audiotree Live,100.34890747070312,4.2248,3.9687,0.055,0.965,0.0283,0.7389,0.0583,0.1779,melancholic
Disco Lines & Tinashe - No Broke Boys (Official Audio).mp3,Disco Lines & Tinashe - No Broke Boys (Official Audio),90.6661148071289,5.9859,6.3836,0.5806,0.0764,0.2511,0.1218,0.676,1.0,party
Dj Sava feat. Misha - Tenerife (Lyrics).mp3,Dj Sava feat. Misha - Tenerife (Lyrics),88.34134674072266,6.3962,6.3002,0.4397,0.008,0.6114,0.0375,0.9577,0.9936,party
Djo - End Of Beginning (Lyrics).mp3,Djo - End Of Beginning (Lyrics),110.54478454589844,5.4072,5.4041,0.8938,0.4037,0.0792,0.1222,0.1058,0.9298,romantic_passionate
Doechii - Anxiety (Lyrics).mp3,Doechii - Anxiety (Lyrics),89.10291290283203,6.4865,5.6587,0.8925,0.1311,0.2413,0.2376,0.4156,0.9815,hopeful
Doechii - Anxiety.mp3,Doechii - Anxiety,89.10291290283203,5.343,5.2705,0.6895,0.315,0.0877,0.5537,0.4009,0.8014,romantic_passionate
Doechii - DENIAL IS A RIVER.mp3,Doechii - DENIAL IS A RIVER,128.39674377441406,5.7176,5.1619,0.6456,0.0426,0.3587,0.035,0.9767,0.9849,triumphant
"Doechii - girl, get up. (Feat. SZA).mp3","Doechii - girl, get up. (Feat. SZA)",129.19921875,5.1115,5.1667,0.4429,0.0436,0.1733,0.3065,0.5811,1.0,triumphant
Dog.mp3,Dog,95.703125,4.468,4.2345,0.3953,0.7606,0.0012,0.9283,0.0025,0.3299,sad
Doja Cat - Paint The Town Red (Official Video).mp3,Doja Cat - Paint The Town Red (Official Video),137.8125,5.137,5.0778,0.2301,0.2838,0.0265,0.4581,0.6196,0.8255,triumphant
Doja Cat - Streets (Official Video).mp3,Doja Cat - Streets (Official Video),123.78368377685548,4.7344,4.8405,0.0397,0.5673,0.0283,0.7934,0.4369,0.8414,sad
Don Toliver - Lose My Mind (feat. Doja Cat) [From F1® The Movie] [Official Music Video].mp3,Don Toliver - Lose My Mind (feat. Doja Cat) [From F1® The Movie] [Official Music Video],75.99954223632812,5.7146,5.773,0.5757,0.0702,0.4267,0.2666,0.6847,0.903,triumphant
Dony feat Elena - Hot Girls (Official Video).mp3,Dony feat Elena - Hot Girls (Official Video),87.59268951416016,6.3561,6.4102,0.7463,0.0032,0.696,0.0149,0.9064,0.9985,party
Down Home.mp3,Down Home,130.83465576171875,4.5099,4.4973,0.0583,0.8006,0.0015,0.9496,0.0249,0.2084,sad
Down the Memory Lane.mp3,Down the Memory Lane,89.87771606445312,3.1584,3.7303,0.0008,0.912,0.0015,1.0,0.0,0.2728,melancholic
Dr. Dog - ＂Shadow People＂.mp3,Dr. Dog - ＂Shadow People＂,121.5992660522461,5.7237,5.2204,0.7827,0.3811,0.1396,0.2138,0.1361,0.5923,romantic_passionate
Dr. Mako - Let Me Down (Official Visualizer).mp3,Dr. Mako - Let Me Down (Official Visualizer),84.03201293945312,6.0113,5.8608,0.5392,0.0611,0.3219,0.1682,0.7184,0.9699,triumphant
Drake - Hotline Bling.mp3,Drake - Hotline Bling,93.1165542602539,5.358,5.1908,0.2625,0.2211,0.0575,0.4761,0.4496,0.908,focused
Du Blonde - Hunter (Official Video).mp3,Du Blonde - Hunter (Official Video),87.59268951416016,4.9122,4.6836,0.4741,0.6594,0.1356,0.5218,0.198,0.8144,sad
Dua Lipa - Be The One (Official Music Video).mp3,Dua Lipa - Be The One (Official Music Video),120.8881607055664,5.7232,5.6049,0.6209,0.1398,0.025,0.3469,0.5823,0.9822,romantic_passionate
Dua Lipa - Houdini (Official Music Video).mp3,Dua Lipa - Houdini (Official Music Video),80.74951171875,6.417,6.2733,0.7511,0.0053,0.3662,0.026,0.9446,0.9914,party
Dua Lipa - IDGAF (Official Music Video).mp3,Dua Lipa - IDGAF (Official Music Video),133.36692810058594,5.7725,5.9009,0.5649,0.4072,0.0952,0.3535,0.7049,0.921,triumphant
Dua Lipa - Levitating Featuring DaBaby (Official Music Video).mp3,Dua Lipa - Levitating Featuring DaBaby (Official Music Video),141.5881805419922,6.397,5.6522,0.7236,0.1,0.3864,0.1219,0.8636,0.9603,triumphant
Dua Lipa - New Rules (Official Music Video).mp3,Dua Lipa - New Rules (Official Music Video),80.12354278564453,6.217,5.6206,0.5298,0.0561,0.3185,0.1181,0.8555,0.9898,triumphant
Duel of the Fates.mp3,Duel of the Fates,110.54478454589844,4.5209,4.1356,0.1972,0.2879,0.0838,0.9887,0.0881,0.2595,focused
Duke Dumont - Ocean Drive.mp3,Duke Dumont - Ocean Drive,79.50720977783203,6.2082,6.1755,0.686,0.0278,0.2887,0.1307,0.8678,0.9681,party
Dunkirk Official Soundtrack ｜ Supermarine - Hans Zimmer ｜ WaterTower.mp3,Dunkirk Official Soundtrack ｜ Supermarine - Hans Zimmer ｜ WaterTower,82.6875,5.5354,5.0464,0.1592,0.0051,0.2757,0.6358,0.3288,0.9574,focused
EDEN GOLAN - Taxi (Official Single).mp3,EDEN GOLAN - Taxi (Official Single),84.03201293945312,5.7542,5.8705,0.714,0.2218,0.1142,0.2195,0.6057,0.9425,romantic_passionate
EMA - Marked (official video).mp3,EMA - Marked (official video),102.33601379394533,4.1109,4.0787,0.084,0.7111,0.135,0.8528,0.0184,0.2621,sad
Easy To Remember.mp3,Easy To Remember,96.59754943847656,4.9113,4.5855,0.0275,0.8802,0.004,0.9966,0.0013,0.1079,sad
Ed Sheeran - A Little More (Official Music Video).mp3,Ed Sheeran - A Little More (Official Music Video),77.71381378173828,5.3201,5.2245,0.6317,0.3098,0.0482,0.3819,0.5219,0.8824,romantic_passionate
Ed Sheeran - Azizam (Lyrics).mp3,Ed Sheeran - Azizam (Lyrics),88.34134674072266,6.4784,5.8435,0.5617,0.0916,0.3267,0.0769,0.9096,0.9849,triumphant
